1	Avatar	2923706026	785221649	26.9	2138484377	73.1	2009
2	Avengers: Endgame	2799439100	858373000	30.7	1941066100	69.3	2019
3	Avatar: The Way of Water	2309660236	680398659	29.5	1629261577	70.5	2022
4	Titanic	2256126138	674292608	29.9	1581833530	70.1	1997
5	Star Wars: Episode VII - The Force Awakens	2071310218	936662225	45.2	1134647993	54.8	2015
6	Avengers: Infinity War	2052415039	678815482	33.1	1373599557	66.9	2018
7	Spider-Man: No Way Home	1921847111	814115070	42.4	1107732041	57.6	2021
8	Jurassic World	1671537444	653406625	39.1	1018130819	60.9	2015
9	The Lion King	1663075401	543638043	32.7	1119437358	67.3	2019
10	The Avengers	1520538536	623357910	41	897180626	59	2012
